Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
ARKANSAS,2017,7,,-,4,,24,,39,,37,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
UNITED STATES,2017,8,266,,298,,568,,3000,,3300,,1,,0,,6,,17,,8,,,
NEW ENGLAND,2017,8,2,,21,,45,,190,,214,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,8,47,,41,,80,,432,,396,,,-,0,,4,,6,,3,,,
NEW YORK CITY,2017,8,14,,13,,29,,163,,130,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,8,43,,48,,103,,494,,629,,,-,0,,1,,2,,2,,,
W.N. CENTRAL,2017,8,18,,16,,43,,216,,141,,,-,0,,3,,5,,1,,,
S. ATLANTIC,2017,8,48,,51,,123,,560,,609,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2017,8,36,,34,,69,,345,,338,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,8,27,,37,,162,,307,,415,,,-,0,,1,,1,,,-,,
MOUNTAIN,2017,8,43,,35,,78,,424,,523,,1,,0,,1,,2,,1,,,
PACIFIC,2017,8,2,,4,,10,,32,,35,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
CONNECTICUT,2017,8,,-,4,,9,,21,,43,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MASSACHUSETTS,2017,8,,-,11,,27,,109,,100,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2017,8,15,,9,,22,,102,,95,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2017,8,2,,12,,28,,94,,179,,,-,0,,1,,2,,2,,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MAINE,2017,8,1,,2,,9,,19,,23,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
IDAHO,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
WEST VIRGINIA,2017,8,3,,4,,17,,36,,47,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PUERTO RICO,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DELAWARE,2017,8,,-,1,,6,,16,,13,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2017,8,,-,3,,12,,38,,63,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2017,8,,-,4,,11,,31,,67,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSOURI,2017,8,11,,5,,18,,99,,33,,,-,0,,3,,5,,,-,"MISSOURI
(38.636168, -92.566292)",
SOUTH CAROLINA,2017,8,3,,8,,39,,153,,75,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2017,8,,-,0,,2,,1,,4,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,8,,-,9,,27,,57,,135,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
LOUISIANA,2017,8,3,,5,,16,,54,,76,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEBRASKA,2017,8,6,,3,,8,,39,,39,,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
CALIFORNIA,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2017,8,1,,2,,8,,13,,19,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OHIO,2017,8,33,,17,,53,,229,,228,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2017,8,1,,2,,6,,26,,21,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DIST. OF COL.,2017,8,,-,1,,4,,2,,11,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2017,8,,-,2,,9,,20,,19,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MONTANA,2017,8,3,,1,,7,,11,,16,,1,,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
UTAH,2017,8,2,,4,,10,,34,,52,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
HAWAII,2017,8,1,,1,,6,,19,,16,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TENNESSEE,2017,8,21,,17,,38,,201,,161,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2017,8,8,,7,,22,,114,,87,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NORTH DAKOTA,2017,8,1,,1,,5,,15,,6,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2017,8,3,,5,,15,,64,,64,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
KENTUCKY,2017,8,12,,4,,13,,48,,47,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,8,21,,10,,59,,132,,157,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW YORK,2017,8,24,,18,,51,,157,,151,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ILLINOIS,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NORTH CAROLINA,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2017,8,15,,9,,19,,99,,101,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
RHODE ISLAND,2017,8,,-,1,,10,,8,,4,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,8,3,,0,,8,,26,,2,,,-,0,,2,,2,,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARIZONA,2017,8,20,,11,,33,,175,,218,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ARKANSAS,2017,8,1,,4,,24,,45,,46,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
VERMONT,2017,8,,-,1,,5,,7,,23,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
KANSAS,2017,8,,-,4,,10,,43,,44,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PENNSYLVANIA,2017,8,6,,9,,23,,86,,113,,,-,0,,2,,4,,3,,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2017,8,6,,17,,38,,118,,207,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2017,8,,-,0,,3,,3,,9,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TEXAS,2017,8,23,,27,,128,,208,,293,,,-,0,,1,,1,,,-,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2017,8,3,,7,,25,,65,,63,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
UNITED STATES,2017,9,260,,298,,583,,3486,,3757,,2,,0,,6,,20,,8,,,
NEW ENGLAND,2017,9,28,,22,,50,,266,,250,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,9,50,,41,,80,,492,,449,,,-,0,,4,,7,,3,,,
NEW YORK CITY,2017,9,16,,13,,29,,179,,150,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,9,33,,49,,103,,567,,702,,,-,0,,1,,2,,2,,,
W.N. CENTRAL,2017,9,13,,16,,45,,271,,161,,1,,0,,3,,6,,1,,,
